Date,Open,High,Low,Close,Adj Close,Volume
8/10/2018,2877.53,2889.45,2862.08,2884.43,2884.43,3330320000.00
9/10/2018,,2894.83,2874.27,2880.34,2880.34,3520500000.00
10/10/2018,,2874.02,2784.86,2785.68,2785.68,4501250000.00
11/10/2018,,,2710.51,2728.37,2728.37,4890630000.00
12/10/2018,2770.54,,2729.44,2767.13,2767.13,3966040000.00
10/15/2018,2763.83,,,2750.79,2750.79,3300140000.00
10/16/2018,2767.05,2813.46,,2809.92,2809.92,3428340000.00
10/17/2018,2811.67,2816.94,,2809.21,2809.21,3321710000.00
10/18/2018,2802.00,2806.04,2755.18,,2768.78,3616440000.00
10/19/2018,2775.66,2797.77,2760.27,,2767.78,3566490000.00
10/22/2018,2773.94,2778.94,2749.22,,2767.78,3307140000.00
10/23/2018,2721.03,2753.59,2691.43,2740.69,2740.69,4348580000.00
10/24/2018,2737.87,2742.59,2651.89,2656.10,,
10/25/2018,2674.88,2722.70,2667.84,2705.57,,
10/26/2018,2667.86,2692.38,2628.16,2658.69,,
10/29/2018,2682.65,2706.85,2603.54,2641.25,2641.25,4673700000.00
10/30/2018,2640.68,2685.43,2635.34,2682.63,2682.63,5106380000.00
10/31/2018,2705.60,2736.69,2705.60,2711.74,2711.74,5112420000.00
1/11/2018,2717.58,2741.67,2708.85,2740.37,2740.37,4708420000.00
2/11/2018,2745.45,2756.55,2700.44,2723.06,2723.06,4237930000.00
5/11/2018,2726.37,2744.27,2717.94,2738.31,2738.31,3623320000.00
6/11/2018,2738.40,2756.82,2737.08,2755.45,2755.45,3510860000.00
7/11/2018,2774.13,2815.15,2774.13,2813.89,2813.89,3914750000.00
8/11/2018,2806.38,2814.75,2794.99,2806.83,2806.83,3630490000.00
9/11/2018,2794.10,2794.10,2764.24,2781.01,2781.01,4019090000.00
12/11/2018,2773.93,2775.99,2722.00,2726.22,2726.22,3670930000.00
11/13/2018,2730.05,2754.60,2714.98,2722.18,2722.18,4091440000.00
11/14/2018,2737.90,2746.80,2685.75,2701.58,2701.58,4402370000.00
11/15/2018,2693.52,2735.38,2670.75,2730.20,2730.20,4179140000.00
11/16/2018,2718.54,2746.75,2712.16,2736.27,2736.27,3975180000.00
11/19/2018,2730.74,2733.16,2681.09,2690.73,2690.73,3772900000.00
11/20/2018,2654.60,2669.44,2631.52,2641.89,2641.89,4357900000.00
11/21/2018,2657.74,2670.73,2649.82,2649.93,2649.93,3233550000.00
11/23/2018,2633.36,2647.55,2631.09,2632.56,2632.56,1651650000.00
11/26/2018,2649.97,2674.35,2649.97,2673.45,2673.45,3443950000.00
11/27/2018,2663.75,2682.53,2655.89,2682.17,2682.17,3485220000.00
11/28/2018,2691.45,2744.00,2684.38,2743.79,2743.79,3951670000.00
11/29/2018,2736.97,2753.75,2722.94,2737.80,2737.80,3560770000.00
11/30/2018,2737.76,2760.88,2732.76,2760.17,2760.17,4658580000.00
3/12/2018,2790.50,2800.18,2773.38,2790.37,2790.37,4186060000.00
4/12/2018,2782.43,2785.93,2697.18,2700.06,2700.06,4499840000.00
6/12/2018,2663.51,2696.15,2621.53,2695.95,2695.95,5141470000.00
7/12/2018,2691.26,2708.54,2623.14,2633.08,2633.08,4216690000.00
10/12/2018,2630.86,2647.51,2583.23,2637.72,2637.72,4151030000.00
11/12/2018,2664.44,2674.35,2621.30,2636.78,2636.78,3905870000.00
12/12/2018,2658.23,2685.44,2650.26,2651.07,2651.07,3958890000.00
12/13/2018,2658.70,2670.19,2637.27,2650.54,2650.54,3927720000.00
12/14/2018,2629.68,2635.07,2593.84,2599.95,2599.95,4035020000.00
12/17/2018,2590.75,2601.13,2530.54,2545.94,2545.94,4616350000.00
12/18/2018,2559.90,2573.99,2528.71,2546.16,2546.16,4470880000.00
12/19/2018,2547.05,2585.29,2488.96,2506.96,2506.96,5127940000.00
12/20/2018,2496.77,2509.63,2441.18,2467.42,2467.42,5585780000.00
12/21/2018,2465.38,2504.41,2408.55,2416.62,2416.62,7609010000.00
12/24/2018,2400.56,2410.34,2351.10,2351.10,2351.10,2613930000.00
12/26/2018,2363.12,2467.76,2346.58,2467.70,2467.70,4233990000.00
12/27/2018,2442.50,2489.10,2397.94,2488.83,2488.83,4096610000.00
12/28/2018,2498.77,2520.27,2472.89,2485.74,2485.74,3702620000.00
12/31/2018,2498.94,2509.24,2482.82,2506.85,2506.85,3442870000.00
2/1/2019,2476.96,2519.49,2467.47,2510.03,2510.03,3733160000.00
3/1/2019,2491.92,2493.14,2443.96,2447.89,2447.89,3822860000.00
4/1/2019,2474.33,2538.07,2474.33,2531.94,2531.94,4213410000.00
7/1/2019,2535.61,2566.16,2524.56,2549.69,2549.69,4104710000.00
